Durusdinium33176	potassium:proton antiporter activity
Durusdinium54721	enoyl-CoA hydratase activity
Durusdinium10026	negative regulation of Rho-dependent protein serine/threonine kinase activity
Durusdinium22828	Oxidoreductase activity. It is involved in the biological process described with metabolic process
Durusdinium26123	negative regulation of inclusion body assembly
Durusdinium33851	Dual specificity protein kinase
Durusdinium49198	mitochondrial transport
Durusdinium42051	Cytidylyltransferase-like
Durusdinium35486	Scd6-like Sm domain
Durusdinium38712	Belongs to the MIP aquaporin (TC 1.A.8) family
Durusdinium48848	nucleotide catabolic process
Durusdinium55209	Source PGD
Durusdinium31742	serine threonine protein kinase
Durusdinium52955	Alpha-kinase family
Durusdinium54726	sulfuric ester hydrolase activity
Durusdinium36780	Protein tyrosine kinase
Durusdinium31434	Guanylate-binding protein, N-terminal domain
Durusdinium32424	phenylalanyl-tRNA aminoacylation
Durusdinium22627	transmembrane transporter activity
Durusdinium1144	structural constituent of ribosome
Durusdinium54492	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium32703	Enoyl-(Acyl carrier protein) reductase
Durusdinium13548	ethanolamine-phosphate phospho-lyase activity
Durusdinium43262	Protein phosphatase 2C
Durusdinium19111	Platelet-activating factor acetylhydrolase, isoform II
Durusdinium11588	glycoside hydrolase family 16 protein
Durusdinium524	selenocysteine insertion sequence binding
Durusdinium47860	Belongs to the eukaryotic ribosomal protein eL29 family
Durusdinium589	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY
Durusdinium9549	Macrocin-O-methyltransferase (TylF)
Durusdinium17600	Phosphatidate cytidylyltransferase. Source PGD
Durusdinium32302	Prolyl oligopeptidase, N-terminal beta-propeller domain
Durusdinium41374	phosphatase
Durusdinium18012	Ammonium transporter
Durusdinium26041	Involved in the catabolism of homogentisate (2,5- dihydroxyphenylacetate or 2,5-OH-PhAc), a central intermediate in the degradation of phenylalanine and tyrosine. Catalyzes the oxidative ring cleavage of the aromatic ring of homogentisate to yield maleylacetoacetate
Durusdinium22631	3',5'-cyclic-nucleotide phosphodiesterase activity
Durusdinium56081	Cystatin-like domain
Durusdinium22642	cytidylyltransferase
Durusdinium8872	Belongs to the glycosyl hydrolase 3 family
Durusdinium31625	ADP-ribosylation factor GTPase-activating protein
Durusdinium43040	Plug domain of Sec61p
Durusdinium26859	Acetyltransferase (GNAT) domain
Durusdinium18319	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein
Durusdinium10001	aspartic-type endopeptidase activity
Durusdinium52310	Specifically methylates the adenine in position 1618 of 23S rRNA
Durusdinium3524	Asparaginyl-tRNA synthetase
Durusdinium24628	Sucrose-6F-phosphate phosphohydrolase
Durusdinium24267	Saposin (B) Domains
Durusdinium56302	phosphopantetheine binding
Durusdinium30722	homolog, subfamily A, member
Durusdinium28385	phosphoglycerate kinase activity
Durusdinium35686	P-type ATPase
Durusdinium20166	Amidase
Durusdinium29804	Protein kinase domain
Durusdinium16333	glycosyl
Durusdinium46855	protein-arginine omega-N asymmetric methyltransferase activity
Durusdinium35821	positive regulation of homocysteine metabolic process
Durusdinium55497	Mitochondrial carrier protein
Durusdinium11332	calcium-dependent cysteine-type endopeptidase activity
Durusdinium15202	Peptide methionine sulfoxide reductase
Durusdinium13946	Cytochrome b5-like Heme/Steroid binding domain
Durusdinium40220	glutamate-5-semialdehyde dehydrogenase activity
Durusdinium17677	DNA polymerase delta small
Durusdinium34588	Nitrogenase component 1 type Oxidoreductase
Durusdinium38992	Extension to Ser/Thr-type protein kinases
Durusdinium46621	Aminotransferase, class I
Durusdinium22792	40S ribosomal protein S28
Durusdinium49191	Binds specifically and directly to substrates containing either a simple or bipartite NLS motif. Promotes docking of import substrates to the nuclear envelope
Durusdinium29417	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Durusdinium41298	Belongs to the group II decarboxylase family
Durusdinium32319	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium34052	non-ribosomal peptide synthetase
Durusdinium40339	ADP-ribosylation factor GTPase-activating protein
Durusdinium51893	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28
Durusdinium39901	FMN-dependent dehydrogenase
Durusdinium40855	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Durusdinium32831	CRAL/TRIO domain
Durusdinium48985	Aldo/keto reductase family
Durusdinium7677	RNA uridylyltransferase activity
Durusdinium44352	Belongs to the HpcH HpaI aldolase family
Durusdinium53597	Peptidyl-prolyl cis-trans isomerase
Durusdinium48108	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)
Durusdinium29560	Ribosomal silencing factor during starvation
Durusdinium52213	endo-1,3(4)-beta-glucanase
Durusdinium32480	AAA domain
Durusdinium25787	Protein kinase domain
Durusdinium17782	rRNA (guanine-N7)-methylation
Durusdinium19096	Galactokinase galactose-binding signature
Durusdinium8347	Belongs to the DNA photolyase family
Durusdinium44100	N-6 adenine-specific DNA methyltransferase 1
Durusdinium40942	ABC transporter C family member
Durusdinium33999	SNF2 family N-terminal domain
Durusdinium38196	Oxidoreductase NAD-binding domain
Durusdinium53386	Cytochrome C oxidase, cbb3-type, subunit III
Durusdinium20362	aspartic-type endopeptidase activity
Durusdinium31169	Cationic amino acid transporter
Durusdinium18941	Protein tyrosine kinase
Durusdinium37093	ATP-binding cassette, sub-family C (CFTR MRP), member 5
Durusdinium46682	Small nuclear ribonucleoprotein
Durusdinium36465	Rab subfamily of small GTPases
Durusdinium8714	SMP-30/Gluconolaconase/LRE-like region
Durusdinium6699	glutathione gamma-glutamylcysteinyltransferase activity
Durusdinium39016	electron transfer activity
Durusdinium12991	Iron-containing alcohol dehydrogenase
Durusdinium36625	protein kinase activity
Durusdinium45937	Phytochelatin synthase
Durusdinium41232	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Durusdinium15373	Serine threonine protein kinase
Durusdinium30432	RNA recognition motif 2
Durusdinium35032	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
Durusdinium23282	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium33174	Fumarase C-terminus
Durusdinium26921	ubiquitin-protein transferase activity
Durusdinium27981	Belongs to the protein kinase superfamily
Durusdinium29938	-
Durusdinium29681	Serine threonine-protein phosphatase
Durusdinium26458	May be involved in the degradation of misfolded endoplasmic reticulum (ER) luminal proteins
Durusdinium34299	cationic amino acid transporter
Durusdinium38266	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
Durusdinium21302	GTPase activator activity
Durusdinium21571	Threonine dehydratase, mitochondrial. Source PGD
Durusdinium46739	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium28996	Calcium calmodulin-dependent protein kinase
Durusdinium38349	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Durusdinium34378	negative regulation of triglyceride biosynthetic process
Durusdinium41012	RNA recognition motif 2 family protein
Durusdinium33503	Legume lectin domain
Durusdinium7138	phosphatidylinositol dephosphorylation
Durusdinium33636	negative regulation of cell death
Durusdinium27938	potassium voltage-gated channel
Durusdinium46032	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
Durusdinium32001	BRCA1 BRCA2-containing complex, subunit 3
Durusdinium54317	-
Durusdinium41608	Kelch repeat protein. Source PGD
Durusdinium40939	Chlorophyll A-B binding protein
Durusdinium37167	Gamma-glutamyltranspeptidase
Durusdinium43698	glucose transmembrane transporter activity
Durusdinium42392	Catalyzes the isomerization of sulfoquinovose (SQ) to 6- deoxy-6-sulfo-D-fructose (SF)
Durusdinium3786	Specifically catalyzes the NAD or NADP-dependent dehydrogenation of L-aspartate to iminoaspartate
Durusdinium13264	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors
Durusdinium52823	Involved in transport of proteins from the cis medial- Golgi to the trans-Golgi network
Durusdinium10171	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis
Durusdinium38644	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Durusdinium36550	Belongs to the class-I aminoacyl-tRNA synthetase family
Durusdinium44172	Belongs to the BI1 family
Durusdinium34451	RING-H2 finger protein
Durusdinium27095	Dihydrouridine synthase (Dus)
Durusdinium23264	Calcium-binding protein
Durusdinium24672	Cyclin-dependent kinase
Durusdinium20001	Protein of unknown function (DUF1077)
Durusdinium50724	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis
Durusdinium6302	Cytochrome C oxidase, cbb3-type, subunit III
Durusdinium26063	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits
Durusdinium35276	GTP-binding protein
Durusdinium46301	gamma-butyrobetaine dioxygenase activity
Durusdinium40660	lysyl-tRNA synthetase
Durusdinium7089	ubiquitin-protein transferase activity
Durusdinium17243	WD domain, G-beta repeat
Durusdinium36273	DNA-(apurinic or apyrimidinic site) lyase
Durusdinium37296	Minichromosome maintenance 9 homologous recombination repair factor
Durusdinium17864	Cyclin-dependent protein kinase
Durusdinium4862	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium32663	acetyltransferase, which acetylates the inositol ring of phosphatidylinositol during biosynthesis of GPI- anchor
Durusdinium32376	STIMATE family
Durusdinium27658	Metal dependent phosphohydrolases with conserved 'HD' motif.
Durusdinium49134	Diacylglycerol kinase. Source PGD
Durusdinium17304	prolyl-tRNA synthetase associated domain-containing protein
Durusdinium37581	dihydrokaempferol 4-reductase activity
Durusdinium54845	regulation of cardiac conduction
Durusdinium8024	Regulatory subunit of S-adenosylmethionine synthetase 2, an enzyme that catalyzes the formation of S-adenosylmethionine from methionine and ATP. Regulates MAT2A catalytic activity by changing its kinetic properties, increasing its affinity for L- methionine
Durusdinium40196	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Durusdinium13749	negative regulation of inclusion body assembly
Durusdinium52612	EF-hand domain pair
Durusdinium34664	Helicase associated domain (HA2)  Add an annotation
Durusdinium53241	Transcription elongation factor
Durusdinium34653	Prolyl-tRNA synthetase
Durusdinium46655	N-terminal domain of ribose phosphate pyrophosphokinase
Durusdinium40627	regulation of choline O-acetyltransferase activity
Durusdinium24016	methyltransferase activity
Durusdinium55598	Protein phosphatase 2A homologues, catalytic domain.
Durusdinium42155	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate
Durusdinium50032	E3 ubiquitin-protein ligase
Durusdinium18684	Belongs to the pirin family
Durusdinium50332	DnaJ molecular chaperone homology domain
Durusdinium7030	Dynamin family
Durusdinium25835	Tubulin-tyrosine ligase family protein
Durusdinium23708	cysteine-type peptidase activity
Durusdinium21790	Scramblase
Durusdinium31784	Nucleotidyltransferase domain
Durusdinium38109	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Durusdinium41846	Selenium-binding protein
Durusdinium45490	glycoside hydrolase family 13
Durusdinium7813	Domain of unknown function (DUF4201)
Durusdinium40003	beta-glucuronidase activity
Durusdinium44203	nucleotide exchange factor
Durusdinium40161	PPPDE putative peptidase domain
Durusdinium25250	protein-arginine omega-N asymmetric methyltransferase activity
Durusdinium46310	RING-like zinc finger
Durusdinium2334	Cupin-like domain
Durusdinium31064	Broad-Complex, Tramtrack and Bric a brac
Durusdinium40058	PFAM short-chain dehydrogenase reductase SDR
Durusdinium9832	termination of RNA polymerase III transcription
Durusdinium38100	leading strand elongation
Durusdinium13025	cAMP-dependent protein kinase activity
Durusdinium27355	MMPL family
Durusdinium31448	Belongs to the DEAD box helicase family
Durusdinium40377	Oxygenase, catalysing oxidative methylation of damaged DNA
Durusdinium33871	Pentacotripeptide-repeat region of PRORP
Durusdinium22588	ABC transporter
Durusdinium37563	transporter
Durusdinium47699	Belongs to the GST superfamily
Durusdinium36979	Ubiquitinyl hydrolase 1
Durusdinium31005	Phosphomethylpyrimidine kinase
Durusdinium39199	PFAM Na dependent nucleoside transporter
Durusdinium14460	Deleted in primary ciliary dyskinesia homolog (mouse)
Durusdinium25169	GTP-ase activating protein
Durusdinium49296	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
Durusdinium39723	Putative GTP-ase activating proteins for the small GTPase, ARF
Durusdinium39666	photosynthetic electron transport chain
Durusdinium38548	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
Durusdinium10799	phosphopantetheine binding
Durusdinium49273	40S ribosomal protein RPS20. Source PGD
Durusdinium23801	Activating signal cointegrator
Durusdinium34456	retrograde transport, endosome to Golgi
Durusdinium42905	Domain of unknown function (DUF3535)
Durusdinium39685	transmembrane transporter activity
Durusdinium9101	) H( ) antiporter that extrudes sodium in exchange for external protons
Durusdinium28264	Heat shock protein DnaJ family protein. Source PGD
Durusdinium18106	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Durusdinium19186	Cleavage and polyadenylation specificity factor
Durusdinium15736	glycosyl
Durusdinium36794	RNA recognition motif
Durusdinium13792	Plasma-membrane choline transporter
Durusdinium37648	Cation transporting ATPase, C-terminus
Durusdinium38087	Belongs to the protein kinase superfamily
Durusdinium23631	cysteine dioxygenase activity. It is involved in the biological process described with
Durusdinium47154	Centrosomal protein
Durusdinium36858	secondary active sulfate transmembrane transporter activity
Durusdinium22926	Scaffold protein Nfu/NifU N terminal
Durusdinium40114	Helicase associated domain (HA2)  Add an annotation
Durusdinium22489	RNA recognition motif
Durusdinium40478	DNA topoisomerase type I activity
Durusdinium17532	Belongs to the short-chain dehydrogenases reductases (SDR) family
Durusdinium17037	Putative GTP-ase activating proteins for the small GTPase, ARF
Durusdinium46203	DnaJ central domain
Durusdinium32943	Belongs to the BI1 family
Durusdinium13307	-
Durusdinium20133	procollagen-proline 4-dioxygenase activity
Durusdinium35713	Belongs to the CTL (choline transporter-like) family
Durusdinium6205	Belongs to the eukaryotic ribosomal protein eS8 family
Durusdinium39369	belongs to the protein kinase superfamily
Durusdinium39760	Cap methyltransferase 1
Durusdinium30106	Adenylyl- / guanylyl cyclase, catalytic domain
Durusdinium26266	4-aminobutyrate:pyruvate transaminase activity
Durusdinium11860	NUDIX family hydrolase
Durusdinium49875	Thioredoxin-like protein
Durusdinium39962	PFAM NAD-dependent epimerase dehydratase
Durusdinium32045	protein serine/threonine phosphatase activity
Durusdinium39655	NADPH Oxidase
Durusdinium13514	Phenylalanine--tRNA ligase alpha subunit
Durusdinium29282	CDP-alcohol phosphatidyltransferase. Source PGD
Durusdinium6787	ATP-dependent RNA helicase
Durusdinium27512	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
Durusdinium35137	Las1-like
Durusdinium34988	DEAD DEAH box helicase domain-containing protein
Durusdinium19187	-
Durusdinium9206	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
Durusdinium8221	protein kinase activity
Durusdinium40683	Catalyzes the methylation of the lipid moiety of the intermediate compounds phthiotriol and glycosylated phenolphthiotriol dimycoserosates to form phthiocerol dimycocerosates (DIM A) and glycosylated phenolphthiocerol dimycocerosates (PGL)
Durusdinium34068	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors. It is involved in the biological process described with oxidation-reduction process
Durusdinium21476	Mitochondrial carrier protein
Durusdinium2255	Pancreatic alpha-amylase-like
Durusdinium19880	carboxylic ester hydrolase activity
Durusdinium24169	ATP-grasp domain
Durusdinium43701	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium11525	oxidation-reduction process
Durusdinium15692	E3 ubiquitin-protein ligase RING1-like
Durusdinium21438	DnaJ molecular chaperone homology domain
Durusdinium55487	vesicle fusion with Golgi apparatus
Durusdinium41010	Chlorophyll A-B binding protein
Durusdinium14659	E3 ubiquitin-protein ligase
Durusdinium37697	Formate/nitrite transporter
Durusdinium28146	Nitronate monooxygenase
Durusdinium17069	Major facilitator superfamily
Durusdinium32294	phosphatidylinositol binding
Durusdinium44237	-
Durusdinium34770	lysine N-methyltransferase activity
Durusdinium8058	farnesyl-diphosphate farnesyltransferase activity
Durusdinium17129	CH-like domain in sperm protein
Durusdinium6560	ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport, ER to cytosol
Durusdinium26817	glutamine synthetase
Durusdinium42276	Amino Acid-Polyamine-Organocation (APC) Family. Source PGD
Durusdinium20426	polyketide synthase
Durusdinium42989	Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A- site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
Durusdinium21104	tRNA-specific adenosine deaminase activity
Durusdinium27401	helicase activity
Durusdinium37813	Regulator of chromosome condensation
Durusdinium17742	Aldo/keto reductase family
Durusdinium23869	Possible lysine decarboxylase
Durusdinium49519	polyadenylation-dependent snoRNA 3'-end processing
Durusdinium25821	self proteolysis
Durusdinium34205	Prolyl 4-hydroxylase alpha subunit homologues.
Durusdinium36055	Glutathione S-transferase, C-terminal domain
Durusdinium3458	Lys63-specific deubiquitinase activity
Durusdinium34561	alpha-galactosidase activity
Durusdinium15433	oxidation-reduction process
Durusdinium31230	In Between Ring fingers
Durusdinium35975	alpha-galactosidase activity
Durusdinium35395	sphinganine-1-phosphate aldolase activity
Durusdinium30140	EAP30/Vps36 family
Durusdinium46663	protein C15orf26 homolog
Durusdinium34091	RNA uridylyltransferase activity
Durusdinium15919	proton-transporting ATP synthase complex assembly
Durusdinium38864	FAD linked oxidases, C-terminal domain
Durusdinium46628	Protein of unknown function, DUF393
Durusdinium43017	Importin-beta N-terminal domain
Durusdinium40138	Dynein heavy chain
Durusdinium34616	Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor
Durusdinium19071	ATP-dependent RNA helicase involved nonsense-mediated mRNA decay and ribosome biogenesis through rRNA processing
Durusdinium39987	peptide-aspartate beta-dioxygenase activity
Durusdinium23474	cysteine-type peptidase activity
Durusdinium37630	acid phosphatase activity
Durusdinium34139	calcium-binding protein
Durusdinium2294	cysteine-type peptidase activity
Durusdinium39376	Belongs to the RNR ribonuclease family
Durusdinium34981	proteinase
Durusdinium16617	Belongs to the DEAD box helicase family
Durusdinium54295	RNA binding
Durusdinium32956	Acts as an adapter for the XPO1 CRM1-mediated export of the 60S ribosomal subunit
Durusdinium54750	sphingolipid delta-4 desaturase activity
Durusdinium6154	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
Durusdinium46764	Signal recognition particle receptor beta subunit
Durusdinium30266	dynein light chain binding
Durusdinium19220	phosphatase 2c
Durusdinium33196	Methyltransferase
Durusdinium30872	adenylate kinase activity
Durusdinium55622	cilium assembly
Durusdinium3929	-
Durusdinium28057	Belongs to the peptidase C1 family
Durusdinium38138	Ribosomal protein L11 methyltransferase
Durusdinium33827	Belongs to the glycosyl hydrolase 30 family
Durusdinium35292	Non-specific serine threonine protein kinase
Durusdinium6563	oxidoreductase activity, acting on superoxide radicals as acceptor
Durusdinium1290	Protein of unknown function (DUF1749)
Durusdinium51665	Belongs to the class-I aminoacyl-tRNA synthetase family
Durusdinium29464	N-glycan processing
Durusdinium24228	water channel activity
Durusdinium37388	alkylated DNA
Durusdinium18286	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor
Durusdinium1363	Belongs to the SNF7 family
Durusdinium35815	O-methyltransferase activity
Durusdinium21671	cAMP-dependent protein kinase regulatory subunit
Durusdinium49547	regulation of endocannabinoid signaling pathway
Durusdinium11667	PFAM Ion transport protein
Durusdinium12946	Domain in the RNA-binding Lupus La protein; unknown function
Durusdinium4608	Lactonase, 7-bladed beta-propeller
Durusdinium33195	1,4-alpha-glucan branching enzyme activity
Durusdinium1838	CDPK-related kinase
Durusdinium45877	synthase
Durusdinium17683	RNA recognition motif 2
Durusdinium22865	Eukaryotic porin
Durusdinium33845	MraW methylase family
Durusdinium16560	peptide-methionine (S)-S-oxide reductase activity
Durusdinium39950	Belongs to the glycosyl hydrolase 30 family
Durusdinium38781	Belongs to the eukaryotic ribosomal protein eL42 family
Durusdinium41350	NADPH-hemoprotein reductase activity
Durusdinium53567	DnaJ central domain
Durusdinium38289	Cupin superfamily protein
Durusdinium26708	protein-arginine N5-methyltransferase activity
Durusdinium37271	Mitochondrial carrier protein
Durusdinium577	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Durusdinium27464	GDP-fucose protein O-fucosyltransferase
Durusdinium11694	Source PGD
Durusdinium12658	Haem-degrading
Durusdinium606	fucoxanthin chlorophyll a c protein
Durusdinium19804	negative regulation of ER-associated ubiquitin-dependent protein catabolic process
Durusdinium30745	transferase activity, transferring hexosyl groups
Durusdinium43319	Pkinase-domain-containing protein
Durusdinium475	outer dynein arm assembly
Durusdinium36825	Trehalase (brush-border membrane glycoprotein)
Durusdinium24046	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium33864	annealing helicase activity
Durusdinium18690	Protein VAC14 homolog
Durusdinium24661	tetratricopeptide repeat
Durusdinium37439	Pathogen-related protein-like
Durusdinium54000	DNA helicase
Durusdinium34444	asparagine synthase
Durusdinium20025	Responsible for synthesis of pseudouridine from uracil
Durusdinium26900	ABC1 family
Durusdinium36701	antr2,pht4
Durusdinium39312	NAD( )-dependent glutamate dehydrogenase which degrades glutamate to ammonia and alpha-ketoglutarate
Durusdinium49859	Beta-lactamase
Durusdinium55440	Small nuclear ribonucleoprotein F
Durusdinium31671	K homology RNA-binding domain
Durusdinium18151	Fe-S protein
Durusdinium52584	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium25618	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
Durusdinium35645	mannosyl-inositol phosphorylceramide biosynthetic process
Durusdinium34799	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Durusdinium31150	-
Durusdinium48809	peptidyl-proline hydroxylation to 4-hydroxy-L-proline
Durusdinium36802	Conserved region in glutamate synthase
Durusdinium4869	intramolecular oxidoreductase activity, transposing S-S bonds
Durusdinium40131	macromolecule glycosylation
Durusdinium20232	fatty acid elongation, saturated fatty acid
Durusdinium28699	Alpha-amylase domain
Durusdinium14404	amine oxidase
Durusdinium35272	glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group
Durusdinium23321	ABC transporter, ATP-binding protein
Durusdinium49489	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome
Durusdinium31464	Enoyl-CoA hydratase/isomerase
Durusdinium51670	Acyl transferase domain
Durusdinium36498	regulation of tocopherol cyclase activity
Durusdinium46123	Zinc finger, ZZ type
Durusdinium17222	antiporter activity
Durusdinium21801	Beta-lactamase
Durusdinium19797	LETM1 domain-containing protein LETM2,mitochondrial
Durusdinium39908	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions
Durusdinium4281	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
Durusdinium237	spectrin binding
Durusdinium30612	DTW
Durusdinium36494	STIMATE family
Durusdinium1311	Serine threonine-protein kinase
Durusdinium37344	Haloacid dehalogenase-like hydrolase
Durusdinium54765	heavy chain
Durusdinium26712	Metal dependent phosphohydrolases with conserved 'HD' motif.
Durusdinium17433	decanoate-CoA ligase activity
Durusdinium51898	Glycosyl hydrolases family 28
Durusdinium41584	Soluble NSF attachment protein, SNAP
Durusdinium21553	cAMP-dependent protein kinase regulatory subunit
Durusdinium8291	Protein phosphatase, Mg2 Mn2 dependent 1B
Durusdinium7788	CGMP-dependent protein kinase. Source PGD
Durusdinium26763	FR47-like protein
Durusdinium36179	von Willebrand factor type A domain
Durusdinium44668	anaphase-promoting complex-dependent catabolic process
Durusdinium35338	Lectin-domain containing receptor kinase
Durusdinium29094	fumarylacetoacetase activity
Durusdinium19114	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Durusdinium32913	Vinylacetyl-CoA Delta-isomerase
Durusdinium38894	sulfuric ester hydrolase activity
Durusdinium43510	unfolded protein binding
Durusdinium33706	cyclin-dependent protein serine/threonine kinase activity
Durusdinium33075	GPI anchor biosynthetic process
Durusdinium37549	scopolin beta-glucosidase activity
Durusdinium21017	Has a role in fat regulation independent of daf-16. Implicated in ciliar sensory function which is required for normal sensory behavior such as chemotaxis. Functions in life span control via the insulin IGF-1 pathway. Thought to be involved in neuronal trafficking
Durusdinium37751	External alternative NAD(P)H-ubiquinone oxidoreductase
Durusdinium15179	protein kinase activity
Durusdinium24660	PFAM Sulfate transporter antisigma-factor antagonist STAS
Durusdinium36285	NADPH oxidase 3
Durusdinium39163	Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family
Durusdinium31921	Belongs to the protein kinase superfamily
Durusdinium36163	Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family
Durusdinium14985	inorganic diphosphatase activity
Durusdinium38045	COBW domain-containing protein
Durusdinium33650	HNH endonuclease domain protein
Durusdinium33392	cell redox homeostasis
Durusdinium7680	ADP-ribosylation crystallin J1
Durusdinium37112	RNA uridylyltransferase activity
Durusdinium43683	sphingolipid transporter activity
Durusdinium22466	ring finger protein 114
Durusdinium34046	post-chaperonin tubulin folding pathway
Durusdinium41575	quercetin 2,3-dioxygenase activity
Durusdinium28114	SNF2 family N-terminal domain
Durusdinium29353	heterochromatin assembly
Durusdinium32325	MAP kinase kinase kinase kinase activity
Durusdinium26567	E3 ubiquitin-protein ligase RNF115-like
Durusdinium41363	inorganic anion exchanger activity
Durusdinium15592	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Durusdinium41207	fucoxanthin chlorophyll a c protein
Durusdinium37453	Specifically deglycosylates the denatured form of N- linked glycoproteins in the cytoplasm and assists their proteasome-mediated degradation. Cleaves the beta-aspartyl- glucosamine (GlcNAc) of the glycan and the amide side chain of Asn, converting Asn to Asp. Prefers proteins containing high- mannose over those bearing complex type oligosaccharides. Can recognize misfolded proteins in the endoplasmic reticulum that are exported to the cytosol to be destroyed and deglycosylate them, while it has no activity toward native proteins. Deglycosylation is a prerequisite for subsequent proteasome-mediated degradation of some, but not all, misfolded glycoproteins
Durusdinium40563	Calcium-binding protein
Durusdinium30737	negative regulation of CAMKK-AMPK signaling cascade
Durusdinium25995	Lipid phosphate phosphatase epsilon
Durusdinium41917	poly(U) RNA binding
Durusdinium46715	prolyl 4-hydroxylase
Durusdinium22502	Glycerol-3-phosphate dehydrogenase
Durusdinium40389	Sulfatase
